Article,Article Info
artificial intelligence industry in china,"the artificial intelligence industry in the people's republic of china is a rapidly developing multi-billion dollar industry. the roots of china's ai development started in the late 1970s following deng xiaoping's economic reforms emphasizing science and technology as the country's primary productive force. the initial stages of china's ai development were slow and encountered significant challenges due to lack of resources and talent. at the beginning china was behind most western countries in terms of ai development. a majority of the research was led by scientists who had received higher education abroad. since 2006, the government of the people's republic of china has steadily developed a national agenda for artificial intelligence development and emerged as one of the leading nations in artificial intelligence research and development. in 2016, the chinese communist party ccp released its thirteenth five-year plan in which it aimed to become a global ai leader by 2030. the state council has a list of ""national ai teams"" including fifteen china-based companies, including baidu, tencent, alibaba, sensetime, and iflytek. each company should lead the development of a designated specialized ai sector in china, such as facial recognition, softwarehardware, and speech recognition. china's rapid ai development has significantly impacted chinese society in many areas, including the socio-economic, military, and political spheres. agriculture, transportation, accommodation and food services, and manufacturing are the top industries that would be the most impacted by further ai deployment. the private sector, university laboratories, and the military are working collaboratively in many aspects as there are few current existing boundaries. in 2021, china published the data security law of the people's republic of china, its first national law addressing ai-related ethical concerns. in october 2022, the united states federal government announced a series of export controls and trade restrictions intended to restrict china's access to advanced computer chips for ai applications. concerns have been raised about the effects of the chinese government's censorship regime on the development of generative artificial intelligence and talent acquisition with state of the country's demographics."
artificial intelligence industry in italy,"the artificial intelligence industry in italy is growing and supports industrial development. in 2024 it reached a new record, reaching 1.2 billion euros with a growth of 58 compared to 2023."
artificial intelligence of things,"the artificial intelligence of things aiot is the combination of artificial intelligence ai technologies with the internet of things iot infrastructure to achieve more efficient iot operations, improve human-machine interactions and enhance data management and analytics. in 2018, kpmg published a foresight study on the future of ai including scenarios until 2040. the analysts describe a scenario in detail where a community of things would see each device also contain its own ai that could link autonomously to other ais to, together, perform tasks intelligently. value creation would be controlled and executed in real-time using swarm intelligence. many industries could be transformed with the application of swarm intelligence, including automotive, cloud, medical, military, research, and technology. in the aiot an important facet is ai being done on some thing. in its purest form this involves performing the ai on the device, i.e. at the edge or edge computing, with no need for external connections. there is no need for an internet in aiot, it is an evolution of the concept of the iot and that is where the comparison ends. the combined power of ai and iot, promises to unlock unrealized customer value in a broad swath of industry verticals such as edge analytics, autonomous vehicles, personalized fitness, remote healthcare, precision agriculture, smart retail, predictive maintenance, and industrial automation."
artificial psychology,"artificial psychology ap has had multiple meanings dating back to 19th century, with recent usage related to artificial intelligence ai. in 1999, zhiliang wang and lun xie presented a theory of artificial psychology based on artificial intelligence. they analyze human psychology using information science research methods and artificial intelligence research to probe deeper into the human mind."
artificial reproduction,"artificial reproduction is the re-creation of life brought about by means other than natural ones. it is new life built by human plans and projects. examples include artificial selection, artificial insemination, in vitro fertilization, artificial womb, artificial cloning, and kinematic replication. artificial reproduction is one aspect of artificial life. artificial reproduction can be categorized into one of two classes according to its capacity to be self-sufficient non-assisted reproductive technology and assisted reproductive technology. cutting plants' stems and placing them in compost is a form of assisted artificial reproduction, xenobots are an example of a more autonomous type of reproduction, while the artificial womb presented in the movie the matrix illustrates a non assisted hypothetical technology. the idea of artificial reproduction has led to various technologies."
artificial wisdom,"artificial wisdom aw is an artificial intelligence ai system which is able to display the human traits of wisdom and morals while being able to contemplate its own endpoint. artificial wisdom can be described as artificial intelligence reaching the top-level of decision-making when confronted with the most complex challenging situations. the term artificial wisdom is used when the ""intelligence"" is based on more than by chance collecting and interpreting data, but by design enriched with smart and conscience strategies that wise people would use. the goal of artificial wisdom is to create artificial intelligence that can successfully replicate the uniquely human traits of having wisdom and morals as closely as possible. thus, artificial wisdom, must incorporate the ethical and moral considerations of the data it uses. there are also many significant ethical and legal implications of aw which are compounded by the rapid advances in ai and related technologies alongside the lack of the development of ethics, guidelines, and regulations without the oversight of any kind of overarching advisory board. additionally, there are challenges in how to develop, test, and implement aw in real world scenarios. existing tests do not test the internal thought process by which a computer system reaches its conclusion, only the result of said process. when examining computer-aided wisdom the partnership of artificial intelligence and contemplative neuroscience, concerns regarding the future of artificial intelligence shift to a more optimistic viewpoint. this artificial wisdom forms the basis of louis molnar's monographic article on artificial philosophy, where he coined the term and proposes how artificial intelligence might view its place in the grand scheme of things."
asr-complete,"asr-complete is, by analogy to ""np-completeness"" in complexity theory, a term to indicate that the difficulty of a computational problem is equivalent to solving the central automatic speech recognition problem, i.e. recognize and understanding spoken language. unlike ""np-completeness"", this term is typically used informally. such problems are hypothesised to include spoken natural language understanding understanding speech from far-field microphones, i.e. handling the reverbation and background noise these problems are easy for humans to do in fact, they are described directly in terms of imitating humans. some systems can solve very simple restricted versions of these problems, but none can solve them in their full generality."
attributional calculus,"attributional calculus is a logic and representation system defined by ryszard s. michalski. it combines elements of predicate logic, propositional calculus, and multi-valued logic. attributional calculus provides a formal language for natural induction, which is an inductive learning process whose outcomes are in human-readable forms."
australian artificial intelligence institute uts,"the university of technology sydney uts is a public research university located in sydney, new south wales, australia. the university was founded in its current form in 1988, though its origins as a technical institution can be traced back to the 1870s. uts is a founding member of the australian technology network atn, and is a member of universities australia ua and the worldwide universities network wun. the university is organised into 9 faculties and schools, which together administers 130 undergraduate courses and 210 postgraduate courses. in 2023, the university enrolled 47,913 students, including 33,579 undergraduate students. the university is home to over 45 research centres and institutes, who regularly collaborates along with industry and government partners. uts recognises more than 180 different clubs and societies. its varsity sports teams, which is overseen by uts sport, competes in the unisport nationals as well as in standalone national championships throughout the year. as of 2023, the university has over 290,000 alumni across 140 countries."
autognostics,autognostics is a new paradigm that describes the capacity for computer networks to be self-aware. it is considered one of the major components of autonomic networking.
automated machine learning,"automated machine learning automl is the process of automating the tasks of applying machine learning to real-world problems. it is the combination of automation and ml. automl potentially includes every stage from beginning with a raw dataset to building a machine learning model ready for deployment. automl was proposed as an artificial intelligence-based solution to the growing challenge of applying machine learning. the high degree of automation in automl aims to allow non-experts to make use of machine learning models and techniques without requiring them to become experts in machine learning. automating the process of applying machine learning end-to-end additionally offers the advantages of producing simpler solutions, faster creation of those solutions, and models that often outperform hand-designed models. common techniques used in automl include hyperparameter optimization, meta-learning and neural architecture search."
automated mathematician,"the automated mathematician am is one of the earliest successful discovery systems. it was created by douglas lenat in lisp, and in 1977 led to lenat being awarded the ijcai computers and thought award. am worked by generating and modifying short lisp programs which were then interpreted as defining various mathematical concepts for example, a program that tested equality between the length of two lists was considered to represent the concept of numerical equality, while a program that produced a list whose length was the product of the lengths of two other lists was interpreted as representing the concept of multiplication. the system had elaborate heuristics for choosing which programs to extend and modify, based on the experiences of working mathematicians in solving mathematical problems."
automated medical scribe,"automated medical scribes also called artificial intelligence scribes, ai scribes, digital scribes, virtual scribes, ambient ai scribes, ai documentation assistants, and digitalvirtualsmart clinical assistants are tools for transcribing medical speech, such as patient consultations and dictated medical notes. many also produce summaries of consultations. automated medical scribes based on large language models llms, commonly called ""ai"", short for ""artificial intelligence"" increased drastically in popularity in 2024. there are privacy and antitrust concerns. accuracy concerns also exist, and intensify in situations in which tools try to go beyond transcribing and summarizing, and are asked to format information by its meaning, since llms do not deal well with meaning see weak artificial intelligence. medics using these scribes are generally expected to understand the ethical and legal considerations, and supervise the outputs. the privacy protections of automated medical scribes vary widely. while it is possible to do all the transcription and summarizing locally, with no connection to the internet, most closed-source providers require that data be sent to their own servers over the internet, processed there, and the results sent back as with digital voice assistants. some retailers say their tools use zero-knowledge encryption meaning that the service provider can't access the data. others explicitly say that they use patient data to train their ais, or rent or resell it to third parties the nature of privacy protections used in such situations is unclear, and they are likely not to be fully effective. most providers have not published any safety or utility data in academic journals, and are not responsive to requests from medical researchers studying their products."
automated negotiation,"automated negotiation is a form of interaction in systems that are composed of multiple autonomous agents, in which the aim is to reach agreements through an iterative process of making offers. automated negotiation can be employed for many tasks human negotiators regularly engage in, such as bargaining and joint decision making. the main topics in automated negotiation revolve around the design of protocols and strategies."
autonomic networking,"autonomic networking follows the concept of autonomic computing, an initiative started by ibm in 2001. its ultimate aim is to create self-managing networks to overcome the rapidly growing complexity of the internet and other networks and to enable their further growth, far beyond the size of today."
autonomous agent,an autonomous agent is an artificial intelligence ai system that can perform complex tasks independently.
azfintext,arizona financial text system azfintext is a textual-based quantitative financial prediction system written by robert p. schumaker of university of texas at tyler and hsinchun chen of the university of arizona.
bayesian programming,"bayesian programming is a formalism and a methodology for having a technique to specify probabilistic models and solve problems when less than the necessary information is available. edwin t. jaynes proposed that probability could be considered as an alternative and an extension of logic for rational reasoning with incomplete and uncertain information. in his founding book probability theory the logic of science he developed this theory and proposed what he called the robot, which was not a physical device, but an inference engine to automate probabilistic reasoninga kind of prolog for probability instead of logic. bayesian programming is a formal and concrete implementation of this ""robot"". bayesian programming may also be seen as an algebraic formalism to specify graphical models such as, for instance, bayesian networks, dynamic bayesian networks, kalman filters or hidden markov models. indeed, bayesian programming is more general than bayesian networks and has a power of expression equivalent to probabilistic factor graphs."
bayesian learning mechanisms,"bayesian learning mechanisms are probabilistic causal models used in computer science to research the fundamental underpinnings of machine learning, and in cognitive neuroscience, to model conceptual development. bayesian learning mechanisms have also been used in economics and cognitive psychology to study social learning in theoretical models of herd behavior."
machine learning,"machine learning ml is a field of study in artificial intelligence concerned with the development and study of statistical algorithms that can learn from data and generalize to unseen data, and thus perform tasks without explicit instructions. within a subdiscipline in machine learning, advances in the field of deep learning have allowed neural networks, a class of statistical algorithms, to surpass many previous machine learning approaches in performance. ml finds application in many fields, including natural language processing, computer vision, speech recognition, email filtering, agriculture, and medicine. the application of ml to business problems is known as predictive analytics. statistics and mathematical optimization mathematical programming methods comprise the foundations of machine learning. data mining is a related field of study, focusing on exploratory data analysis eda via unsupervised learning. from a theoretical viewpoint, probably approximately correct learning provides a framework for describing machine learning."
